wavelength,refractive_index
1862.0,1.5732
1963.4,1.5563
2064.8,1.543
2166.1,1.5322
2267.5,1.5233
2368.9,1.5159
2470.3,1.5096
2571.7,1.5043
2673.0,1.4996
2774.4,1.4956
2875.8,1.492
2977.2,1.4889
3078.6,1.4861
3179.9,1.4837
3281.3,1.4814
3382.7,1.4794
3484.1,1.4776
3585.5,1.4759
3686.8,1.4744
3788.2,1.4731
3889.6,1.4718
3991.0,1.4706
4092.4,1.4696
4193.7,1.4686
4295.1,1.4676
4396.5,1.4668
4497.9,1.466
4599.3,1.4652
4700.6,1.4645
4802.0,1.4639
4903.4,1.4633
5004.8,1.4627
5106.2,1.4622
5207.5,1.4616
5308.9,1.4612
5410.3,1.4607
5511.7,1.4603
5613.1,1.4598
5714.4,1.4594
5815.8,1.4591
5917.2,1.4587
6018.6,1.4584
6120.0,1.458
6221.3,1.4577
6322.7,1.4574
6424.1,1.4571
6525.5,1.4569
6626.9,1.4566
6728.2,1.4563
6829.6,1.4561
6931.0,1.4558
7032.4,1.4556
7133.8,1.4554
7235.1,1.4552
7336.5,1.455
7437.9,1.4547
7539.3,1.4545
7640.7,1.4544
7742.0,1.4542
7843.4,1.454
7944.8,1.4538
8046.2,1.4536
8147.6,1.4535
8248.9,1.4533
8350.3,1.4531
8451.7,1.453
8553.1,1.4528
8654.5,1.4526
8755.8,1.4525
8857.2,1.4523
8958.6,1.4522
9060.0,1.4521
9161.4,1.4519
9262.7,1.4518
9364.1,1.4516
9465.5,1.4515
9566.9,1.4514
9668.3,1.4512
9769.6,1.4511
9871.0,1.451
9972.4,1.4508
10074.0,1.4507
10175.0,1.4506
10277.0,1.4505
10378.0,1.4503
10479.0,1.4502
10581.0,1.4501
10682.0,1.45
10783.0,1.4498
10885.0,1.4497
10986.0,1.4496
11088.0,1.4495
11189.0,1.4494
11290.0,1.4492
11392.0,1.4491
11493.0,1.449
11594.0,1.4489
11696.0,1.4488
11797.0,1.4487
11899.0,1.4485
12000.0,1.4484
